,Table 10. National income and composition of resources,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Debts,,,,Prices,,,,,,,,
,,Gross domestic product (GDP),,,,Gross fixed capital formation,, General government final consumption expenditure,,,,Total tax revenue,,"Taxes on income, profits and capital gains",,Domestic credit provided by financial sector,,Total debt service,,Consumer price index,,Domestic food price level,,,,,,
HDI rank,Country,"Total
(2011 PPP $ billions)",,"Per capita
(2011 PPP $)",, (% of GDP),,"Total 
(% of GDP)",,Average annual growth (%),,(% of GDP),,(% of total tax revenue),,(% of GDP),,(% of GNI),,(2010=100),,Index,,Volatility index,,,,
,,2015,,2015,,2010-2015,a,2010-2015,a,2010-2015,a,2005-2014,a,2005-2014,a,2010-2015,a,2014,,2015,,2010-2014,a,2010-2014,a,,,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,334.9,,"64,451",,23.3,,23.2,,1.9,,23.8,,26.2,,..,,..,,109,,1.5,,11.3,,,,
2,Australia,"1,038.2",,"43,655",,26.5,,18.0,,1.3,,22.2,,63.6,,177.2,,..,,112,,1.4,,..,,,,
2,Switzerland,456.7,,"55,112",,23.7,,11.3,,2.4,,9.6,,20.9,,178.8,,..,,98,,1.4,,6.6,,,,
4,Germany,"3,586.5",,"44,053",,20.0,,19.4,,2.5,,11.5,,16.5,,135.1,,..,,107,,1.5,,5.6,,,,
5,Denmark,246.4,,"43,415",,19.1,,26.2,,0.6,,34.8,,44.0,,219.0,,..,,107,,1.3,,6.0,,,,
5,Singapore,443.9,,"80,192",,25.5,,10.4,,0.1,,13.9,,34.7,,121.1,,..,,113,,1.0,,4.0,,,,
7,Netherlands,785.4,,"46,374",,19.5,,25.3,,0.3,,20.9,,24.1,,218.9,,..,,109,,1.4,,5.6,,,,
8,Ireland,240.8,,"51,899",,22.0,,17.2,,-0.8,,23.8,,37.6,,130.5,,..,,105,,1.2,,3.3,,,,
9,Iceland,14.0,,"42,449",,19.2,,23.8,,1.8,,25.7,,29.8,,108.0,,..,,118,,1.8,,5.4,,,,
10,Canada,"1,537.7",,"42,891",,23.3,,21.2,,1.7,,11.8,,52.9,,..,,..,,109,,1.3,,7.1,,,,
10,United States,"16,890.2",,"52,549",,19.6,,14.3,,0.4,,10.9,,52.8,,238.3,,..,,109,,1.0,,0.0,,,,
12,"Hong Kong, China (SAR)",390.0,,"53,380",,22.6,,9.6,,3.4,,12.5,,36.2,,211.5,,..,,123,,..,,..,,,,
13,New Zealand,159.8,,"34,762",,22.4,,18.6,,2.3,,26.7,,50.8,,150.7,,..,,108,,2.0,,..,,,,
14,Sweden,443.9,,"45,296",,24.2,,26.1,,2.5,,26.4,,14.3,,152.4,,..,,104,,1.5,,6.7,,,,
15,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,
16,United Kingdom,"2,518.1",,"38,658",,17.3,,19.4,,1.5,,25.0,,32.6,,163.2,,..,,112,,1.2,,5.0,,,,
17,Japan,"4,545.7",,"35,804",,21.7,,20.4,,1.2,,10.9,,47.6,,376.6,,..,,104,,1.9,,5.6,,,,
18,Korea (Republic of),"1,740.5",,"34,387",,29.1,,15.2,,3.4,,14.4,,30.3,,166.5,,..,,110,,1.9,,9.1,,,,
19,Israel,265.4,,"31,671",,18.6,,22.3,,2.9,,23.5,,28.9,,83.2,,..,,107,,2.2,,5.9,,,,
20,Luxembourg,53.3,,"93,553",,17.4,,16.6,,2.7,,25.9,,29.1,,191.2,,..,,109,,1.3,,8.9,,,,
21,France,"2,492.3",,"37,306",,21.5,,23.9,,1.4,,23.3,,25.4,,148.4,,..,,106,,1.7,,4.8,,,,
22,Belgium,464.3,,"41,138",,23.3,,24.2,,0.2,,26.1,,36.5,,148.3,,..,,109,,1.7,,6.0,,,,
23,Finland,211.8,,"38,643",,20.3,,24.6,,-0.9,,20.8,,14.8,,158.6,,..,,109,,1.6,,6.2,,,,
24,Austria,378.0,,"43,893",,22.1,,20.1,,1.4,,26.4,,28.1,,126.1,,..,,111,,1.4,,5.9,,,,
