,"Table 2. Human Development Index Trends, 1990-2015 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI),,,,,,,,,,,,,,,,Change in HDI rank,,Average annual HDI growth ,,,,,,,
HDI rank,Country,Value,,,,,,,,,,,,,,,,,,(%),,,,,,,
,,1990,,2000,,2010,,2011,,2012,,2013,,2014,,2015,,2010-2015,a,1990-2000,,2000-2010,,2010-2015,,1990-2015,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,0.849,,0.917,,0.939,,0.941,,0.942,,0.945,,0.948,,0.949,,0,,0.77,,0.24,,0.21,,0.45,
2,Australia,0.866,,0.899,,0.927,,0.930,,0.933,,0.936,,0.937,,0.939,,1,,0.38,,0.31,,0.24,,0.32,
2,Switzerland,0.831,,0.888,,0.932,,0.932,,0.934,,0.936,,0.938,,0.939,,0,,0.67,,0.49,,0.16,,0.49,
4,Germany,0.801,,0.860,,0.912,,0.916,,0.919,,0.920,,0.924,,0.926,,0,,0.71,,0.59,,0.30,,0.58,
5,Denmark,0.799,,0.862,,0.910,,0.922,,0.924,,0.926,,0.923,,0.925,,2,,0.76,,0.55,,0.32,,0.59,
5,Singapore,0.718,,0.820,,0.911,,0.917,,0.920,,0.922,,0.924,,0.925,,0,,1.34,,1.05,,0.30,,1.02,
7,Netherlands,0.830,,0.878,,0.911,,0.921,,0.922,,0.923,,0.923,,0.924,,-2,,0.56,,0.37,,0.29,,0.43,
8,Ireland,0.762,,0.857,,0.909,,0.895,,0.902,,0.910,,0.920,,0.923,,1,,1.17,,0.60,,0.29,,0.77,
9,Iceland,0.797,,0.854,,0.894,,0.901,,0.907,,0.915,,0.919,,0.921,,7,,0.70,,0.46,,0.60,,0.58,
10,Canada,0.849,,0.867,,0.903,,0.907,,0.909,,0.912,,0.919,,0.920,,1,,0.21,,0.41,,0.38,,0.32,
10,United States,0.860,,0.884,,0.910,,0.913,,0.915,,0.916,,0.918,,0.920,,-3,,0.28,,0.29,,0.20,,0.27,
12,"Hong Kong, China (SAR)",0.781,,0.825,,0.898,,0.905,,0.907,,0.913,,0.916,,0.917,,3,,0.55,,0.85,,0.42,,0.64,
13,New Zealand,0.818,,0.868,,0.901,,0.904,,0.908,,0.910,,0.913,,0.915,,0,,0.61,,0.36,,0.32,,0.45,
14,Sweden,0.815,,0.877,,0.901,,0.903,,0.904,,0.906,,0.909,,0.913,,-1,,0.73,,0.28,,0.25,,0.45,
15,Liechtenstein,..,,0.862,,0.904,,0.909,,0.908,,0.912,,0.911,,0.912,,-5,,..,,0.48,,0.16,,..,
16,United Kingdom,0.775,,0.866,,0.902,,0.898,,0.899,,0.904,,0.908,,0.909,,-4,,1.13,,0.41,,0.16,,0.64,
17,Japan,0.814,,0.856,,0.884,,0.889,,0.894,,0.899,,0.902,,0.903,,1,,0.51,,0.32,,0.44,,0.42,
18,Korea (Republic of),0.731,,0.820,,0.884,,0.889,,0.891,,0.896,,0.899,,0.901,,0,,1.15,,0.76,,0.37,,0.84,
19,Israel,0.785,,0.850,,0.883,,0.889,,0.891,,0.895,,0.898,,0.899,,2,,0.81,,0.38,,0.35,,0.54,
20,Luxembourg,0.782,,0.854,,0.894,,0.892,,0.892,,0.892,,0.896,,0.898,,-4,,0.88,,0.46,,0.11,,0.56,
21,France,0.779,,0.849,,0.882,,0.885,,0.887,,0.890,,0.894,,0.897,,1,,0.86,,0.39,,0.34,,0.57,
22,Belgium,0.805,,0.873,,0.884,,0.886,,0.889,,0.890,,0.895,,0.896,,-4,,0.81,,0.12,,0.27,,0.42,
23,Finland,0.783,,0.856,,0.878,,0.884,,0.887,,0.890,,0.893,,0.895,,1,,0.90,,0.25,,0.37,,0.53,
24,Austria,0.794,,0.837,,0.880,,0.884,,0.887,,0.892,,0.892,,0.893,,-1,,0.53,,0.50,,0.31,,0.47,
25,Slovenia,0.767,,0.824,,0.876,,0.877,,0.878,,0.888,,0.888,,0.890,,0,,0.73,,0.61,,0.33,,0.60,
26,Italy,0.768,,0.828,,0.872,,0.877,,0.876,,0.877,,0.881,,0.887,,0,,0.76,,0.51,,0.34,,0.58,
27,Spain,0.755,,0.825,,0.867,,0.871,,0.874,,0.877,,0.882,,0.884,,0,,0.90,,0.49,,0.40,,0.64,
28,Czech Republic,0.761,,0.821,,0.861,,0.864,,0.865,,0.871,,0.875,,0.878,,0,,0.76,,0.47,,0.39,,0.57,
29,Greece,0.760,,0.801,,0.860,,0.858,,0.860,,0.862,,0.865,,0.866,,0,,0.52,,0.71,,0.14,,0.52,
30,Brunei Darussalam,0.782,,0.819,,0.846,,0.852,,0.860,,0.863,,0.864,,0.865,,1,,0.46,,0.33,,0.43,,0.40,
30,Estonia,0.728,,0.781,,0.838,,0.850,,0.856,,0.860,,0.863,,0.865,,2,,0.71,,0.70,,0.65,,0.69,
32,Andorra,..,,..,,0.819,,0.819,,0.843,,0.850,,0.857,,0.858,,9,,..,,..,,0.95,,..,
33,Cyprus,0.733,,0.800,,0.847,,0.850,,0.849,,0.850,,0.854,,0.856,,-3,,0.88,,0.58,,0.20,,0.62,
33,Malta,0.736,,0.783,,0.826,,0.821,,0.828,,0.847,,0.853,,0.856,,3,,0.63,,0.53,,0.71,,0.61,
33,Qatar,0.754,,0.809,,0.827,,0.837,,0.843,,0.854,,0.855,,0.856,,2,,0.71,,0.22,,0.68,,0.51,
36,Poland,0.712,,0.784,,0.829,,0.834,,0.838,,0.850,,0.852,,0.855,,-3,,0.97,,0.56,,0.62,,0.74,
37,Lithuania,0.731,,0.757,,0.826,,0.830,,0.834,,0.841,,0.846,,0.848,,-1,,0.36,,0.87,,0.53,,0.60,
38,Chile,0.700,,0.761,,0.820,,0.826,,0.831,,0.841,,0.845,,0.847,,2,,0.84,,0.75,,0.65,,0.76,
