,Table 3. Inequality-adjusted Human Development Index ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human Development Index (HDI),,Inequality-adjusted HDI (IHDI),,,,,,Coefficient of human inequality,,Inequality in life expectancy,,Inequality-adjusted life expectancy index,,Inequality in education,a,Inequality-adjusted education index,,Inequality in income,a,Inequality-adjusted income index,,Income inequality,,,,,
HDI rank,Country,Value,,Value,,Overall loss (%),,Difference from HDI rank,b,,,(%),,Value,,(%),,Value,,(%),,Value,,Quintile ratio,,Palma ratio ,,Gini coefficient,
,,2015,,2015,,2015,,2015,,2015,,2010–2015,c,2015,,2015,d,2015,,2015,d,2015,,2010-2015,e,2010-2015,e,2010-2015,e
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,0.949,,0.898,,5.4,,0,,5.4,,3.3,,0.918,,2.4,,0.894,,10.4,,0.882,,3.8,,0.9,,25.9,
2,Australia,0.939,,0.861,,8.2,,-1,,8.0,,4.3,,0.921,,1.9,,0.921,,17.7,,0.753,,6.0,,1.4,,34.9,
2,Switzerland,0.939,,0.859,,8.6,,-4,,8.4,,3.8,,0.934,,5.7,,0.840,,15.7,,0.806,,4.9,,1.2,,31.6,
4,Germany,0.926,,0.859,,7.2,,-1,,7.0,,3.7,,0.905,,2.6,,0.891,,14.8,,0.787,,4.6,,1.1,,30.1,
5,Denmark,0.925,,0.858,,7.2,,-2,,7.0,,3.8,,0.894,,3.0,,0.896,,14.3,,0.789,,4.5,,1.0,,29.1,
5,Singapore,0.925,,..,,..,,..,,..,,3.0,,0.943,,..,,..,,..,,..,,..,,..,,..,
7,Netherlands,0.924,,0.861,,6.9,,2,,6.8,,3.7,,0.914,,4.2,,0.859,,12.4,,0.812,,4.2,,1.0,,28.0,
8,Ireland,0.923,,0.850,,7.9,,-2,,7.7,,3.7,,0.905,,3.0,,0.883,,16.3,,0.769,,5.3,,1.3,,32.5,
9,Iceland,0.921,,0.868,,5.8,,6,,5.7,,2.9,,0.937,,2.5,,0.884,,11.7,,0.789,,4.0,,1.0,,26.9,
10,Canada,0.920,,0.839,,8.9,,-2,,8.7,,4.7,,0.912,,3.9,,0.856,,17.4,,0.755,,5.8,,1.3,,33.7,
10,United States,0.920,,0.796,,13.5,,-10,,12.9,,6.1,,0.856,,5.6,,0.850,,27.0,,0.692,,9.1,,2.0,,41.1,
12,"Hong Kong, China (SAR)",0.917,,..,,..,,..,,..,,2.8,,0.959,,..,,..,,..,,..,,..,,..,,..,
13,New Zealand,0.915,,..,,..,,..,,..,,4.6,,0.910,,..,,..,,..,,..,,..,,..,,..,
14,Sweden,0.913,,0.851,,6.7,,3,,6.6,,3.3,,0.928,,3.4,,0.826,,13.1,,0.806,,4.2,,0.9,,27.3,
15,Liechtenstein,0.912,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
16,United Kingdom,0.909,,0.836,,8.0,,-1,,7.8,,4.5,,0.894,,2.8,,0.871,,16.2,,0.752,,5.3,,1.3,,32.6,
17,Japan,0.903,,0.791,,12.4,,-8,,12.2,,3.2,,0.948,,19.8,,0.675,,13.5,,0.774,,5.4,f,1.2,f,32.1,f
18,Korea (Republic of),0.901,,0.753,,16.4,,-19,,15.9,,3.7,,0.920,,25.5,,0.645,,18.4,,0.720,,..,,..,,..,
19,Israel,0.899,,0.778,,13.5,,-11,,12.9,,3.9,,0.925,,8.4,,0.796,,26.4,,0.639,,10.3,,2.2,,42.8,
20,Luxembourg,0.898,,0.827,,8.0,,1,,7.8,,2.6,,0.927,,5.8,,0.738,,15.1,,0.826,,5.9,,1.4,,34.8,
21,France,0.897,,0.813,,9.4,,-1,,9.3,,4.0,,0.921,,7.5,,0.776,,16.3,,0.752,,5.3,,1.3,,33.1,
22,Belgium,0.896,,0.821,,8.3,,2,,8.3,,4.0,,0.901,,8.1,,0.773,,12.7,,0.794,,4.2,,1.0,,27.6,
23,Finland,0.895,,0.843,,5.8,,9,,5.7,,3.4,,0.907,,2.0,,0.830,,11.6,,0.796,,3.9,,1.0,,27.1,
24,Austria,0.893,,0.815,,8.7,,3,,8.5,,3.7,,0.912,,4.3,,0.785,,17.5,,0.757,,4.9,,1.1,,30.5,
25,Slovenia,0.890,,0.838,,5.9,,9,,5.8,,3.6,,0.898,,2.6,,0.863,,11.3,,0.758,,3.7,,0.9,,25.6,
26,Italy,0.887,,0.784,,11.5,,-3,,11.2,,3.0,,0.945,,9.9,,0.734,,20.8,,0.696,,6.7,,1.4,,35.2,
27,Spain,0.884,,0.791,,10.5,,1,,10.1,,3.5,,0.932,,5.1,,0.777,,21.8,,0.684,,7.3,,1.5,,35.9,
28,Czech Republic,0.878,,0.830,,5.4,,10,,5.3,,3.5,,0.873,,1.4,,0.866,,11.1,,0.757,,3.8,,0.9,,26.1,
29,Greece,0.866,,0.758,,12.4,,-6,,12.2,,3.7,,0.905,,11.7,,0.733,,21.1,,0.657,,7.6,,1.6,,36.7,
30,Brunei Darussalam,0.865,,..,,..,,..,,..,,4.4,,0.868,,..,,..,,..,,..,,..,,..,,..,
30,Estonia,0.865,,0.788,,8.9,,3,,8.6,,4.8,,0.835,,2.3,,0.856,,18.7,,0.684,,5.7,,1.3,,33.2,
32,Andorra,0.858,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
33,Cyprus,0.856,,0.762,,10.9,,-2,,10.8,,4.0,,0.891,,12.4,,0.688,,15.9,,0.722,,5.4,,1.4,,34.3,
33,Malta,0.856,,0.786,,8.1,,3,,8.0,,4.5,,0.892,,6.0,,0.734,,13.6,,0.742,,..,,..,,..,
33,Qatar,0.856,,..,,..,,..,,..,,6.1,,0.843,,..,,..,,..,,..,,..,,..,,..,
