,Table 4. Gender Development Index ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gender Development Index,,,,Human Development Index (HDI),,,,Life expectancy at birth,,,,Expected years of schooling,,,,Mean years of schooling ,,,,Estimated gross national income per capita ,,,a
,,Value,,Group,b,Value,,,,(years),,,,(years),,,,(years),,,,(2011 PPP $),,,
HDI rank,Country,,,,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,,Female,,Male,
,,2015,,2015,,2015,,2015,,2015,,2015,,2015,c,2015,c,2015,c,2015,c,2015,,2015,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,0.993,,1,,0.944,,0.951,,83.7,,79.7,,18.3,,17.1,,12.8,,12.7,,"59,800",,"75,314",
2,Australia,0.978,,1,,0.927,,0.948,,84.6,,80.5,,20.9,d,20.0,d,13.4,,13.0,,"34,271",,"51,386",
2,Switzerland,0.974,,2,,0.926,,0.951,,85.1,,81.0,,16.0,,16.1,,13.3,,13.5,,"46,798",,"66,116",
4,Germany,0.964,,2,,0.908,,0.942,,83.4,,78.7,,16.9,,17.3,,12.9,e,13.6,e,"35,878",,"54,440",
5,Denmark,0.970,,2,,0.910,,0.938,,82.3,,78.5,,20.0,d,18.4,d,12.6,,12.9,,"36,857",,"52,293",
5,Singapore,0.985,,1,,0.913,,0.927,,86.2,,80.1,,15.5,,15.3,,11.1,f,12.1,f,"60,787",,"96,001",g
7,Netherlands,0.946,,3,,0.895,,0.946,,83.5,,79.9,,18.2,d,18.1,d,11.6,,12.2,,"30,117",,"62,773",
8,Ireland,0.976,,1,,0.909,,0.931,,83.1,,79.0,,18.6,d,18.6,d,12.5,,11.9,,"33,497",,"54,135",
9,Iceland,0.965,,2,,0.905,,0.938,,84.2,,81.2,,20.1,d,17.9,,12.2,e,12.6,e,"30,530",,"43,576",
10,Canada,0.983,,1,,0.911,,0.926,,84.1,,80.2,,16.8,,15.9,,13.3,h,12.9,h,"33,288",,"52,026",
10,United States,0.993,,1,,0.915,,0.922,,81.6,,76.9,,17.3,,15.8,,13.2,,13.2,,"42,272",,"64,410",
12,"Hong Kong, China (SAR)",0.964,,2,,0.903,,0.937,,87.0,,81.4,,15.8,,15.5,,11.5,,12.4,,"39,525",,"70,921",
13,New Zealand,0.963,,2,,0.896,,0.930,,83.7,,80.3,,20.0,d,18.5,d,12.6,,12.5,,"24,413",,"41,718",
14,Sweden,0.997,,1,,0.909,,0.911,,84.0,,80.6,,16.6,,15.1,,12.4,,12.2,,"40,328",,"52,181",
15,Liechtenstein,..,,..,,..,,..,,..,,..,,13.5,,15.9,,..,,..,,..,,..,
16,United Kingdom,0.964,,2,,0.890,,0.924,,82.7,,78.9,,16.7,,15.9,,13.2,,13.4,,"26,324",,"49,872",
17,Japan,0.970,,2,,0.887,,0.914,,86.9,,80.4,,15.2,,15.5,,12.6,e,12.4,e,"25,385",,"49,818",
18,Korea (Republic of),0.929,,3,,0.863,,0.929,,85.2,,78.8,,15.8,,17.3,,11.5,,12.9,,"21,308",,"47,934",
19,Israel,0.973,,2,,0.884,,0.909,,84.2,,80.8,,16.5,,15.5,,12.8,,12.7,,"23,323",,"39,239",
20,Luxembourg,0.966,,2,,0.881,,0.911,,84.1,,79.6,,14.0,,13.7,,11.6,,12.3,,"47,539",,"77,291",g
21,France,0.988,,1,,0.892,,0.902,,85.2,,79.4,,16.6,,15.9,,11.5,,11.8,,"31,742",,"44,776",
22,Belgium,0.978,,1,,0.881,,0.901,,83.4,,78.5,,16.7,,15.9,,11.2,f,11.6,f,"32,416",,"50,358",
23,Finland,1.000,,1,,0.895,,0.895,,83.8,,78.2,,17.6,,16.5,,11.5,h,11.1,h,"32,069",,"45,882",
24,Austria,0.957,,2,,0.870,,0.909,,84.0,,79.1,,16.2,,15.6,,10.8,e,11.8,e,"29,829",,"57,888",
25,Slovenia,1.003,,1,,0.890,,0.888,,83.5,,77.6,,18.1,,16.7,,11.9,,12.2,,"25,654",,"31,726",
26,Italy,0.963,,2,,0.865,,0.899,,85.7,,80.9,,16.7,,15.9,,10.5,,11.0,,"22,910",,"44,844",
27,Spain,0.974,,2,,0.870,,0.894,,85.4,,80.0,,18.0,,17.4,,9.6,,10.0,,"24,382",,"41,500",
28,Czech Republic,0.983,,1,,0.869,,0.883,,81.6,,75.9,,17.6,,16.1,,12.1,,12.6,,"20,997",,"35,543",
29,Greece,0.957,,2,,0.844,,0.883,,84.0,,78.2,,17.1,,17.3,,10.3,,10.8,,"17,304",,"32,683",
30,Brunei Darussalam,0.986,,1,,0.854,,0.866,,80.9,,77.2,,15.4,,14.6,,9.0,h,9.1,h,"55,402",,"89,256",g
30,Estonia,1.032,,2,,0.878,,0.851,,81.4,,72.2,,17.3,,15.7,,13.0,e,12.2,e,"21,976",,"31,347",
32,Andorra,..,,..,,..,,..,,..,,..,,..,,..,,10.2,,10.3,,..,,..,
33,Cyprus,0.979,,1,,0.846,,0.864,,82.6,,78.2,,14.7,,13.8,,11.6,,11.9,,"23,450",,"35,227",
33,Malta,0.923,,4,,0.817,,0.885,,82.4,,79.0,,14.3,,15.0,,10.9,,11.6,,"17,295",,"41,802",
33,Qatar,0.991,,1,,0.851,,0.859,,80.1,,77.5,,13.5,,13.3,,10.9,,9.5,,"50,324",,"159,897",g
