,Table 7. Population trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Population,,,,,,,,,,,,,,,,,,Dependency ratio,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,Average annual growth ,,,, Urban,a,Under age 5,,Ages 15–64,,Ages 65 and older,,Median age,,(per 100 people ages 15–64),,,,Total fertility rate,,,,,,,,,,,,
HDI rank,Country,,(millions),,,,(%),,,,(%),,(millions),,,,,,(years),,Young age (0–14),,Old age (65 and older),,(births per woman),,,,,,,,,,,,
,,,2015,,2030,b,2000/2005,,2010/2015,,2015,,2015,,2015,,2015,,2015,,2015,,2015,,2000/2005,,2010/2015,,,,,,,,,,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,c,5.2,,5.9,,0.6,,1.3, ,80.5, ,0.3, ,3.4, ,0.9, ,39.1, ,27.3, ,24.9, ,1.8, ,1.8, ,,,,,,,,,
2,Australia,d,24.0,,28.5,,1.2,,1.6, ,89.4, ,1.5, ,15.9, ,3.6, ,37.5, ,28.2, ,22.7, ,1.8, ,1.9, ,,,,,,,,,
2,Switzerland,,8.3,,9.2,,0.7,,1.2,,73.9,,0.4,,5.6,,1.5,,42.3,,22.0,,26.9,,1.4,,1.5,,,,,,,,,,
4,Germany,,80.7,,79.3,,-0.2,,0.1,,75.3,,3.4,,53.2,,17.1,,46.2,,19.6,,32.2,,1.4,,1.4,,,,,,,,,,
5,Denmark,,5.7,,6.0,,0.3,,0.4,,87.7,,0.3,,3.6,,1.1,,41.6,,26.3,,29.6,,1.8,,1.7,,,,,,,,,,
5,Singapore,,5.6,,6.4,,2.7,,2.0,,100.0,,0.3,,4.1,,0.7,,40.0,,21.4,,16.1,,1.3,,1.2,,,,,,,,,,
7,Netherlands,,16.9,,17.6,,0.5,,0.4,,90.5,,0.9,,11.0,,3.1,,42.7,,25.3,,27.9,,1.7,,1.8,,,,,,,,,,
8,Ireland,,4.7,,5.2,,1.8,,0.3,,63.2,,0.4,,3.1,,0.6,,36.9,,33.5,,20.2,,2.0,,2.0,,,,,,,,,,
9,Iceland,,0.3,,0.4,,1.1,,0.7,,94.1,,0.0,,0.2,,0.0,,36.0,,30.8,,20.8,,2.0,,2.0,,,,,,,,,,
