,Table 9. Education achievements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Literacy rate,,,,,, ,,Gross enrolment ratio,,,,,,,,,,Education quality,,,,,,,,,,,
,,Adult                                 (% ages 15 and older),,"Youth
(% ages 15–24)",,,,Population with at least some secondary education,,Pre-primary,,Primary,, Secondary,,Tertiary,,Primary school dropout rate,,Primary school teachers trained to teach,,"Pupil-teacher ratio, primary school",,Government expenditure on education,,,,,,,
HDI rank,Country,,,Female,,Male,,(% ages 25 and older),,(% of preschool-age children),,(% of primary school–age population),,(% of secondary school–age population),,(% of tertiary school–age population),,(% of primary school cohort),,(%),,(number of pupils per teacher),, (% of GDP),,,,,,,
,,2005-2015,a,2005-2015,a,2005-2015,a,2005-2015,a,2010-2015,a,2010-2015,a,2010-2015,a,2010-2015,a,2005-2015,a,2005-2015,a,2010-2015,a,2010-2014,a,,,,,,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,..,,..,,..,,95.3,,98,,100,,113,,77,,0.4,,..,,9,,7.4,,,,,,,
2,Australia,..,,..,,..,,91.5,,109,,107,,138,,87,,..,,..,,..,,5.3,,,,,,,
2,Switzerland,..,,..,,..,,96.7,,105,,103,,100,,57,,..,,..,,10,,5.1,,,,,,,
4,Germany,..,,..,,..,,96.7,,111,,103,,102,,65,,3.5,,..,,12,,4.9,,,,,,,
5,Denmark,..,,..,,..,,89.5,,96,,101,,130,,82,,0.5,,..,,..,,8.5,,,,,,,
5,Singapore,96.8,,99.9,,99.9,,78.6,,..,,..,,..,,..,,1.3,,94,,..,,2.9,,,,,,,
7,Netherlands,..,,..,,..,,88.2,,95,,104,,132,,79,,..,,..,,12,,5.6,,,,,,,
8,Ireland,..,,..,,..,,85.5,,108,,103,,126,,73,,..,,..,,16,,5.8,,,,,,,
9,Iceland,..,,..,,..,,98.6,,97,,99,,111,,82,,2.1,,..,,10,,7.0,,,,,,,
10,Canada,..,,..,,..,,100.0,,74,,101,,110,,..,,..,,..,,..,,5.3,,,,,,,
10,United States,..,,..,,..,,95.3,,71,,100,,98,,87,,..,,..,,15,,5.2,,,,,,,
12,"Hong Kong, China (SAR)",..,,..,,..,,77.4,,109,,111,,101,,69,,1.6,,96,,14,,3.6,,,,,,,
13,New Zealand,..,,..,,..,,98.7,,92,,99,,117,,81,,..,,..,,14,,6.4,,,,,,,
14,Sweden,..,,..,,..,,88.0,,96,,121,,133,,62,,0.4,,..,,10,,7.7,,,,,,,
15,Liechtenstein,..,,..,,..,,..,,106,,103,,116,,37,,20.6,,..,,7,,2.6,,,,,,,
16,United Kingdom,..,,..,,..,,82.9,,88,,108,,128,,56,,..,,..,,17,,5.7,,,,,,,
17,Japan,..,,..,,..,,91.8,,90,,102,,102,,62,,0.2,,..,,17,,3.8,,,,,,,
18,Korea (Republic of),..,,..,,..,,91.4,,92,,99,,98,,95,,0.4,,..,,17,,4.6,,,,,,,
19,Israel,..,,..,,..,,88.8,,111,,104,,102,,66,,0.8,,..,,13,,5.9,,,,,,,
20,Luxembourg,..,,..,,..,,100.0,,93,,97,,102,,19,,15.2,,..,,8,,..,,,,,,,
21,France,..,,..,,..,,82.5,,109,,105,,111,,64,,..,,..,,18,,5.5,,,,,,,
22,Belgium,..,,..,,..,,82.3,,118,,105,,165,,73,,7.8,,..,,11,,6.4,,,,,,,
23,Finland,..,,..,,..,,100.0,,80,,101,,145,,89,,0.4,,..,,13,,7.2,,,,,,,
24,Austria,..,,..,,..,,98.9,,102,,102,,99,,80,,0.5,,..,,11,,5.6,,,,,,,
25,Slovenia,99.7,,99.9,,99.8,,97.3,,93,,99,,111,,83,,1.0,,..,,17,,5.7,,,,,,,
26,Italy,99.2,,99.9,,99.9,,82.3,,100,,102,,102,,63,,1.1,,..,,12,,4.1,,,,,,,
27,Spain,98.1,,99.8,,99.7,,73.7,,98,,105,,130,,89,,3.7,,..,,13,,4.3,,,,,,,
28,Czech Republic,..,,..,,..,,99.8,,105,,99,,105,,66,,0.7,,..,,19,,4.3,,,,,,,
29,Greece,97.7,,99.4,,99.5,,67.5,,76,,99,,108,,110,,9.3,,..,,9,,..,,,,,,,
30,Brunei Darussalam,96.4,,99.7,,99.5,,68.6,b,74,,107,,99,,32,,3.6,,87,,10,,3.8,,,,,,,
30,Estonia,99.8,,100.0,,100.0,,100.0,,88,,101,,109,,73,,3.4,,..,,11,,4.7,,,,,,,
32,Andorra,..,,..,,..,,72.8,,..,,..,,..,,..,,29.3,,100,,10,,3.1,,,,,,,
33,Cyprus,99.1,,99.9,,99.8,,79.0,,77,,99,,99,,53,,9.2,,..,,13,,6.6,,,,,,,
33,Malta,94.1,,99.5,,98.8,,76.9,,115,,97,,85,,45,,3.1,,..,,11,,6.8,,,,,,,
33,Qatar,97.8,,99.7,,98.3,,68.4,,58,,101,,109,,16,,2.3,,49,,11,,3.5,,,,,,,
36,Poland,99.8,,100.0,,100.0,,83.9,,77,,101,,109,,71,,1.5,,..,,10,,4.8,,,,,,,
37,Lithuania,99.8,,99.9,,99.9,,93.1,,88,,102,,107,,69,,2.8,,..,,13,,4.8,,,,,,,
38,Chile,97.3,,99.7,,99.0,,76.5,,128,,101,,100,,87,,0.5,,..,,20,,4.6,,,,,,,
38,Saudi Arabia,94.7,,99.3,,99.4,,66.5,,16,,109,,108,,61,,1.3,,100,,11,,..,,,,,,,
40,Slovakia,99.6,,99.5,,99.4,,99.3,,92,,101,,92,,53,,2.1,,..,,15,,4.1,,,,,,,
41,Portugal,95.7,,99.6,,99.5,,51.4,,92,,109,,116,,66,,..,,..,,13,,5.1,,,,,,,
42,United Arab Emirates,93.8,,99.1,,99.6,,67.7,,92,,107,,..,,22,,8.0,,100,,19,,..,,,,,,,
43,Hungary,99.1,,99.0,,98.7,,96.6,,84,,102,,107,,53,,1.7,,..,,11,,4.6,,,,,,,
44,Latvia,99.9,,99.9,,99.8,,99.1,,91,,100,,115,,67,,6.5,,..,,11,,4.9,,,,,,,
45,Argentina,98.1,,99.5,,99.1,,62.4,,72,,111,,106,,80,,5.4,,..,,..,,5.3,,,,,,,
45,Croatia,99.3,,99.8,,99.7,,95.8,,61,,99,,99,,70,,0.6,,..,,14,,4.2,,,,,,,
47,Bahrain,95.7,,99.7,,99.8,,57.9,b,55,,..,,..,,37,,2.2,,83,,12,,2.6,,,,,,,
48,Montenegro,98.7,,99.0,,99.3,,89.2,,55,,94,,90,,55,,19.5,,..,,..,,..,,,,,,,
49,Russian Federation,99.7,,99.8,,99.7,,94.6,,84,,99,,101,,79,,3.6,,..,,20,,4.2,,,,,,,
50,Romania,98.8,,99.3,,99.3,,89.1,,90,,96,,95,,53,,6.0,,..,,18,,2.9,,,,,,,
51,Kuwait,96.2,,99.5,,99.6,,57.4,,81,,103,,94,,27,,4.3,,79,,9,,..,,,,,,,
,High human development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Belarus,99.7,,99.9,,99.8,,89.3,,105,,99,,107,,89,,1.7,,99,,16,,5.0,,,,,,,
52,Oman,94.8,,99.1,,99.1,,58.8,,54,,110,,102,,29,,1.3,,..,,..,,5.0,,,,,,,
54,Barbados,..,,..,,..,,92.6,,84,,94,,109,,65,,6.6,,100,,18,,6.7,,,,,,,
54,Uruguay,98.4,,99.3,,98.5,,53.4,,70,,110,,94,,63,,5.3,,..,,14,,4.4,,,,,,,
56,Bulgaria,98.4,,97.8,,98.2,,94.2,,83,,99,,101,,71,,2.2,,..,,18,,3.5,,,,,,,
56,Kazakhstan,99.8,,99.9,,99.8,,100.0,,60,,111,,109,,46,,1.2,,100,,16,,..,,,,,,,
58,Bahamas,..,,..,,..,,87.5,,..,,108,,93,,..,,10.5,,92,,14,,..,,,,,,,
59,Malaysia,94.6,,98.5,,98.3,,77.1,,99,,107,,79,,30,,5.8,,99,,11,,6.1,,,,,,,
60,Palau,99.5,,99.8,,99.8,,..,,74,,114,,114,,62,,..,,..,,..,,..,,,,,,,
60,Panama,95.0,,98.0,,98.3,,68.6,,71,,105,,75,,39,,6.8,,90,,25,,3.3,,,,,,,
62,Antigua and Barbuda,99.0,,..,,..,,..,,75,,97,,102,,23,,8.7,,70,,14,,..,,,,,,,
63,Seychelles,95.2,,99.6,,98.6,,..,,93,,104,,75,,6,,..,,87,,13,,3.6,,,,,,,
64,Mauritius,90.6,,99.1,,98.4,,59.7,,102,,103,,98,,39,,1.8,,100,,19,,5.0,,,,,,,
65,Trinidad and Tobago,99.0,,99.6,,99.6,,69.8,,..,,106,,..,,..,,10.6,,88,,..,,..,,,,,,,
66,Costa Rica,97.8,,99.4,,99.2,,54.2,,53,,111,,120,,53,,9.6,,94,,13,,7.0,,,,,,,
66,Serbia,98.1,,98.4,,98.6,,86.7,,59,,101,,94,,58,,1.7,,56,,16,,4.4,,,,,,,
68,Cuba,99.7,,99.9,,99.9,,84.8,,98,,98,,100,,41,,3.5,,100,,9,,12.8,,,,,,,
69,Iran (Islamic Republic of),86.8,,98.2,,98.5,,67.7,,42,,109,,88,,66,,3.8,,100,,26,,3.0,,,,,,,
70,Georgia,99.8,,99.8,,99.7,,96.7,,..,,117,,99,,39,,1.3,,95,,9,,2.0,,,,,,,
71,Turkey,95.0,,98.8,,99.7,,54.0,,28,,107,,100,,79,,10.0,,..,,20,,..,,,,,,,
71,Venezuela (Bolivarian Republic of),95.4,,98.3,,97.1,,68.9,,73,,101,,92,,..,,12.9,,..,,..,,..,,,,,,,
73,Sri Lanka,92.6,,99.2,,98.4,,80.5,,95,,101,,100,,21,,1.8,,80,,24,,1.6,,,,,,,
